"x","group"
6.25365979757452,4
4.21583394137538,5
4.19431916311883,3
4.48696930519555,5
5.32538522413379,3
6.23874150676063,5
5.79285012546102,5
6.69633575410099,5
5.19878078941679,5
6.17185421533177,1
5.22675798970308,4
5.51210369645774,5
4.90348610676438,5
5.87715646673354,5
4.29560662405302,5
5.7856665487294,5
5.82737786550795,5
4.77317486599343,5
6.64983939639843,2
5.34136441242693,5
5.98769891853765,5
6.24060558985708,4
5.29398722041174,2
5.54516175960815,5
6.54853138267418,1
5.87333237552964,5
5.27090350376107,5
5.4823672527411,5
7.120484251853,5
5.49798262123319,2
7.4622272788749,5
4.13951031427608,2
4.35573740905373,1
7.78335540585029,4
4.10570801652139,2
6.44356231089355,5
4.2515328159292,2
5.48964122791449,5
4.99644772042395,5
5.06496040607558,1
7.33926713912908,1
5.72504132737616,5
3.20542764355987,2
4.79734758030754,3
4.52172001590137,1
4.18323590159507,5
7.53537019113013,5
5.46843535540157,2
5.68177246713876,2
5.65161137220959,1
4.90889091934203,4
5.22835978674233,1
3.16534057145644,4
4.06830373205706,5
3.86856584675598,2
4.42660241217693,2
4.9980247855667,4
4.2313923191419,4
4.3167440050837,4
5.07330937727282,3
5.06134026720697,1
4.38029416294351,4
3.88792075828501,5
2.45334208325363,4
5.23585117261752,5
4.74715201540386,2
5.22484186871258,2
6.6979123785874,5
5.57823800313464,2
6.14640581696382,2
5.21206635007149,2
3.84042059738191,5
6.17829002751875,1
4.79102930527139,5
4.38017094604511,2
6.61360936615903,5
5.48723479308039,5
5.06176192874646,3
7.23668604291825,5
5.14109540440462,1
5.63044684765103,5
4.79677619991878,2
5.11486218273675,5
7.57109395611738,2
4.5308114682487,1
5.34219253397886,4
5.31726467167616,2
4.96239719819388,4
4.75270239726807,5
3.80369981045318,2
4.81603448863671,5
6.67299912691059,2
3.77474010993661,1
6.59476262514537,5
5.31094272981328,3
6.38081736151706,1
5.57108369100886,5
4.65798473498466,5
6.14405122865681,2
6.10598030841199,2
5.33359090627451,5
5.728435843385,4
6.13167179005932,2
3.90859170682246,2
4.41912688424522,4
5.53683407460237,3
5.678753939641,5
5.81260305839863,2
3.32043137751094,2
5.24714832359841,2
5.48541258815138,5
5.33330705248433,2
3.58276823008614,2
6.18904902641985,1
5.28951865381522,5
2.72904304486633,5
3.36904134543517,5
6.21073752602478,3
5.63896035700184,3
5.61264372699262,3
6.80714111053055,2
6.02445246123294,4
6.0522682046888,5
5.48093755994867,2
5.5378784874044,5
3.45401691756195,5
5.85017862397164,5
5.44505000590217,5
6.32306994812843,5
4.98926315615005,5
5.09536658540124,5
5.99304843616681,2
6.65175373858964,2
4.35252044465105,5
6.62931518402851,3
5.5815158154163,5
5.34462770355623,2
5.98382103006296,4
7.10120521540879,4
5.24618004775957,2
6.19522651652396,1
5.18792287511032,5
4.21830224757311,3
5.08229098160708,2
4.38122448249423,3
6.00803388672264,1
5.03049809460716,5
5.65372041745197,5
5.76358545666345,2
4.86712368392401,3
4.64952169379936,2
5.94263990666732,5
5.99418491352135,5
7.35061469858091,5
3.02023396825077,1
5.87275350427348,5
4.75025291245919,5
6.35374503870843,5
6.81859042241608,3
5.57381254678681,2
6.12960466301655,4
4.82600661028168,2
4.94002641827977,4
5.66661469035314,5
6.10661202737863,2
4.78461202091762,1
5.1515678054347,5
5.78052564880304,4
4.70634524378638,5
5.70064043198725,3
6.10760111124903,3
5.8690096959838,5
5.99485301107617,4
5.04595293964427,2
4.97722431595786,4
5.42125423270455,2
5.89867990663136,5
5.77689946676558,4
5.93730339467207,5
3.65285926386014,2
6.58914574349784,1
4.04727813661126,2
6.19882954320174,5
3.45337331316031,5
4.9300819365161,5
6.76702484258364,5
4.19027140169531,2
4.48137115170425,5
6.22056983905494,5
3.57862394752765,4
5.76111619260038,1
4.43906807890291,1
6.24878913578938,3
5.78444533041837,5
4.57982482778744,2
5.19751030962348,2
3.99143374243954,2
4.73336243337724,2
6.50341398604867,1
3.77889873194596,2
8.56714044070006,2
0.976731240755879,4
4.3106948854827,5
4.76715221621189,1
7.25601713596151,3
3.7685702596617,2
5.31698615894579,5
6.39377746401741,2
4.86108298101623,4
5.4323354974336,4
2.83456017807994,2
5.25989844389372,5
5.88711448015392,1
4.9543588028112,5
4.35560617363042,4
4.91123255993121,5
4.40897968150242,4
5.97418311177751,3
5.12077982184242,3
6.86565347454919,2
5.90427251998934,3
6.45021019240117,1
5.81058219746597,1
6.38666331847444,5
7.23777271358733,5
6.44480678624812,5
6.4631202985882,5
4.80357453190784,5
4.91364695862687,2
3.92413961921299,5
6.11193913379108,5
5.20294412986721,5
5.83449380415185,5
7.31578334693102,5
7.33557264067418,4
7.73718599322235,2
6.82781286056956,5
6.01143694315882,3
6.36409828446084,5
4.93069251403541,5
5.99542541882662,5
4.99919515566553,4
7.05114037149708,4
4.92361808004974,2
4.04649855666934,5
3.42024804654205,3
4.45177569299106,1
7.63395546724117,5
5.38189936640616,5
4.76200884714995,5
5.75788422830444,1
6.0522089094052,5
4.27435906060924,1
4.79693577956061,1
5.24829812633774,5
6.12876834120577,4
6.87929919158845,5
4.69878193199803,5
4.96316848246357,4
6.21579102087271,5
5.66620475274082,5
7.70330012811827,5
4.36485944266819,5
6.95929007639949,1
5.48949019222286,4
5.68272901968936,2
4.99318430120536,2
4.27456615142887,3
5.82622573978675,3
6.72764559934472,5
6.06484773232507,5
4.25409922221822,2
5.76140528401645,1
5.61464892202825,5
4.18947135486956,4
6.38097721913573,3
5.9725156808041,4
5.61901934171781,1
6.03726943922978,5
6.14976860222203,5
5.47305434543088,2
8.29597539919982,1
5.66838378611806,3
4.60193067768136,1
6.1609130263234,1
5.30870396694974,2
4.38515899939804,5
5.15950986638291,3
5.78761751722413,5
4.04943495455885,4
7.14653167151643,5
3.65274845451367,2
